Crop,pH,Nitrogen,Phosphorus,Potassium,Calcium,Magnesium,Organic Matter,Soil Moisture,EC,Production Rate (kg/m²)
Potatoes,5.36,47.9,10.68,187.55,65.37,44.82,4.57,13.99,0.53,2.2
Potatoes,3.64,46.75,24.62,150.9,74.68,39.77,3.2,12.88,0.87,2.53
Potatoes,5.73,44.85,39.11,189.4,75.48,32.65,4.14,10.4,1.34,3.82
Potatoes,5.59,35.26,35.43,219.3,85.85,35.97,4.28,14.44,0.68,2.05
Potatoes,5.82,38.1,36.95,182.08,51.71,46.83,4.62,13.69,0.7,2.16
Potatoes,5.34,48.12,26.58,230.39,95.34,49.86,3.83,15.21,0.96,2.08
Potatoes,-4.93,48.2,21.47,218.78,60.86,41.18,4.64,15.39,1.25,1.79
Potatoes,5.07,30.87,21.06,175.71,78.3,46.98,4.64,18.53,0.98,3.29
Potatoes,5.53,47.95,35.37,201.02,91.86,40.11,3.64,10.52,0.97,2.83
Potatoes,5.23,39.59,23.05,153.84,69.8,35.03,4.4,11.59,0.73,2.33
Potatoes,6.25,35.39,21.08,201.29,89.82,33.51,7.86,12.89,0.98,2.12
Potatoes,5.43,46.24,20.83,155.77,52.26,38.62,4.34,15.63,0.74,3.79
Potatoes,5.24,36.98,32.03,171.61,69.07,44.13,-0.79,13.25,1.0,3.48
Potatoes,5.65,31.04,27.46,209.26,68.32,39.4,3.92,17.64,0.66,2.04
Potatoes,5.85,41.04,33.2,169.11,83.43,39.19,3.31,13.47,2.29,2.48
Potatoes,5.32,44.02,34.03,160.81,91.4,37.04,4.75,15.84,1.46,3.93
Potatoes,5.43,47.08,29.35,170.14,95.86,48.7,3.78,14.72,1.28,3.14
Potatoes,12.01,46.35,29.13,212.5,88.94,37.2,4.94,12.53,-2.26,2.16
Potatoes,5.59,31.97,28.4,193.47,92.8,43.97,4.91,16.96,0.89,3.39
Potatoes,10.23,48.07,32.7,149.73,91.59,47.18,4.02,13.69,0.68,2.26
Potatoes,5.4,40.12,36.35,192.0,96.4,38.68,3.32,20.54,1.29,2.24
Potatoes,5.31,46.51,22.05,222.2,57.69,45.57,6.64,19.28,1.31,2.83
Potatoes,10.42,46.1,33.82,242.62,92.24,41.37,3.47,19.73,0.99,3.37
Potatoes,5.19,39.33,25.39,194.48,83.06,41.06,3.44,29.52,1.37,2.51
Potatoes,6.22,47.56,35.18,188.27,55.62,49.91,4.53,13.33,0.55,3.87
Potatoes,5.43,44.47,36.8,212.51,55.71,42.19,4.53,18.42,0.82,3.49
Potatoes,6.11,29.02,36.5,243.25,64.93,33.75,3.12,12.63,0.83,2.43
Potatoes,5.53,47.62,32.22,164.33,84.86,41.36,4.29,15.01,1.42,3.16
Potatoes,5.47,31.26,28.51,213.18,52.47,33.16,3.23,16.36,0.68,2.51
Potatoes,5.14,45.5,21.83,197.85,54.79,47.54,4.0,14.48,1.06,2.11
Potatoes,5.73,40.05,43.73,236.65,80.36,46.93,4.7,16.22,0.65,3.52
Potatoes,5.32,33.87,27.63,212.12,88.27,31.66,3.43,19.18,1.34,3.19
Potatoes,5.47,44.52,29.85,238.4,82.17,38.92,4.18,28.06,0.86,2.7
Potatoes,6.22,43.97,38.51,170.63,85.89,41.38,3.59,17.36,0.66,2.7
Potatoes,5.49,40.89,32.01,201.97,84.94,48.67,4.18,10.67,1.09,2.8
Potatoes,5.13,47.68,26.16,165.42,58.28,37.78,3.05,17.41,1.2,3.37
Potatoes,5.72,42.41,20.14,242.41,86.52,45.68,4.29,19.54,1.48,3.26
Potatoes,5.89,45.74,28.28,224.6,56.92,42.56,3.72,10.53,1.06,3.79
Potatoes,15.53,54.2,31.38,158.41,97.43,48.42,3.75,11.48,0.84,2.32
Potatoes,10.2,32.55,37.1,160.33,83.35,39.2,3.21,15.89,1.24,2.54
Potatoes,5.13,49.4,33.07,191.76,93.46,48.48,3.86,6.09,1.2,2.98
Potatoes,5.44,39.69,31.52,211.5,63.4,48.52,4.1,11.48,0.84,2.53
Potatoes,-4.06,46.23,28.63,170.08,95.28,46.88,3.54,2.94,1.07,2.83
Potatoes,5.95,30.06,29.59,188.92,73.65,32.5,4.0,11.32,10.17,2.79
Potatoes,5.48,39.19,35.3,201.2,77.77,47.58,4.32,12.2,1.15,3.09
Potatoes,5.54,30.54,23.63,169.39,62.53,33.35,3.2,14.86,0.77,3.51
Potatoes,5.15,49.84,39.74,151.0,90.39,38.64,4.48,10.94,0.63,2.09
Potatoes,6.1,36.76,35.99,242.4,62.51,50.94,3.6,12.38,1.15,2.49
Potatoes,5.15,35.03,37.44,205.0,86.15,37.24,4.54,15.11,0.63,2.25
Potatoes,5.61,49.28,36.53,154.43,101.77,44.37,3.91,16.2,1.18,1.86
Potatoes,6.0,38.3,39.72,235.29,84.09,42.0,4.22,16.3,1.04,2.64
Potatoes,5.46,33.45,30.41,159.2,51.41,42.52,4.91,11.37,1.45,3.29
Potatoes,5.06,33.3,28.29,226.07,51.41,35.0,4.22,11.81,1.03,2.38
Potatoes,5.68,40.56,34.54,233.96,54.45,39.19,3.2,16.89,0.82,3.37
Potatoes,5.17,46.27,26.43,246.09,72.83,56.91,3.99,11.39,0.95,2.89
Potatoes,5.53,40.87,37.86,160.28,82.21,33.96,3.88,15.87,1.29,3.1
Potatoes,6.1,35.01,36.87,229.43,72.25,49.94,-1.59,12.13,0.76,2.24
Potatoes,5.58,38.92,20.63,196.75,70.26,32.5,4.35,13.09,0.79,3.48
Potatoes,5.81,56.88,36.81,213.12,93.34,50.15,4.92,13.83,0.5,2.9
Potatoes,5.68,44.37,25.37,195.8,48.57,35.28,4.88,17.64,0.6,3.47
Potatoes,5.69,35.53,21.62,209.52,55.12,40.47,3.76,18.4,1.43,3.04
Potatoes,5.9,30.18,23.41,185.89,53.61,40.53,4.01,11.94,1.12,3.03
Potatoes,6.13,48.47,40.69,155.07,58.84,44.91,4.36,18.4,0.59,2.23
Potatoes,6.33,35.19,45.79,201.39,94.41,49.61,1.89,12.39,1.28,2.05
Potatoes,6.35,40.72,37.77,245.03,50.69,35.39,3.88,19.54,11.46,2.56
Potatoes,5.4,21.84,38.77,166.03,71.53,50.0,4.26,17.37,1.03,3.47
Potatoes,5.93,41.19,30.87,207.85,72.89,36.49,4.47,22.27,0.77,3.29
Potatoes,2.81,30.77,32.48,222.06,88.11,34.1,4.17,13.01,1.02,2.26
Carrots,6.51,27.18,37.57,126.6,42.81,28.06,3.01,17.54,0.5,1.98
Carrots,6.31,38.28,35.46,122.14,66.54,22.59,3.82,17.1,0.46,3.09
Carrots,6.2,32.77,36.92,127.19,58.71,23.57,3.66,16.13,0.7,2.98
Carrots,6.57,32.04,39.82,157.62,60.53,23.65,3.08,14.73,0.4,2.61
Carrots,6.0,30.67,24.75,194.37,77.0,24.12,3.88,16.67,0.4,2.45
Carrots,6.86,33.22,47.61,176.08,50.75,39.53,3.3,15.45,-0.31,1.73
Carrots,6.67,38.05,31.01,152.3,78.47,13.42,2.1,14.25,0.4,2.85
Carrots,6.61,25.28,20.03,148.94,55.56,28.55,3.76,13.65,0.42,3.31
Carrots,6.21,27.89,38.44,207.28,35.98,21.18,-1.89,14.0,0.66,1.83
Carrots,0.77,27.6,24.08,146.2,44.54,35.39,2.29,13.79,10.6,1.32
Carrots,6.84,35.73,38.85,152.0,69.45,21.88,2.38,12.64,0.96,3.48
Carrots,6.29,36.29,27.74,180.27,52.54,31.51,2.15,13.11,0.89,2.83
Carrots,7.0,22.31,37.84,140.28,64.66,32.78,2.39,5.99,0.41,1.95
Carrots,6.07,32.55,26.48,127.01,63.72,28.27,-0.85,12.63,0.8,1.77
Carrots,6.62,27.32,21.99,147.09,73.3,19.55,3.84,15.57,0.78,2.77
Carrots,6.39,16.14,35.49,181.63,70.13,30.83,2.23,16.35,0.53,2.9
Carrots,11.36,37.15,36.42,192.37,75.36,27.47,3.3,13.63,0.62,3.01
Carrots,6.92,24.48,28.84,173.61,79.73,26.0,3.95,16.14,0.34,1.72
Carrots,6.6,30.95,42.79,150.9,62.44,29.43,2.08,14.15,0.46,1.67
Carrots,14.59,38.5,36.47,137.81,50.3,34.14,12.2,13.49,0.5,1.22
Carrots,6.32,20.55,27.81,140.45,53.69,32.12,-1.09,13.04,0.76,1.37
Carrots,6.13,25.47,32.49,135.73,42.94,35.74,2.54,12.23,0.45,2.27
Carrots,6.57,48.33,24.15,120.25,59.61,21.21,2.15,12.99,0.63,2.27
Carrots,6.96,22.74,37.44,165.57,61.15,29.87,2.2,22.03,0.56,1.67
Carrots,6.11,20.3,22.67,126.98,42.04,36.21,2.54,13.03,0.85,2.17
Carrots,6.73,20.7,26.38,145.24,79.73,27.94,3.65,16.12,-9.47,2.11
Carrots,3.93,23.63,26.61,176.98,46.29,36.83,2.97,17.08,0.72,2.59
Carrots,6.61,39.84,26.56,166.26,52.59,27.73,3.0,16.23,0.87,1.61
Carrots,6.43,24.96,22.96,141.19,65.54,33.0,2.59,14.63,0.64,2.27
Carrots,6.26,21.72,25.89,192.88,56.46,22.68,3.33,16.71,0.72,2.94
Carrots,6.09,24.09,28.82,159.05,42.23,22.51,5.38,16.26,0.58,2.09
Carrots,6.15,31.69,22.51,145.75,65.05,28.02,3.67,17.18,0.44,1.7
Carrots,6.53,20.17,32.57,159.25,64.68,26.96,3.17,16.7,-1.82,2.18
Carrots,6.91,37.81,28.16,196.56,89.09,42.8,2.36,17.18,0.93,1.6
Carrots,6.44,26.47,30.68,191.45,73.51,33.36,2.63,13.93,0.84,3.05
Carrots,8.48,20.48,39.9,129.27,79.15,36.59,2.33,17.48,0.74,2.08
Carrots,6.54,38.6,34.67,163.48,57.88,33.02,3.72,13.07,0.53,3.05
Carrots,6.99,43.16,39.14,125.72,32.73,26.85,2.93,13.89,0.66,1.92
Carrots,6.18,24.62,37.91,120.3,56.84,24.97,2.53,16.13,0.32,2.26
Carrots,6.7,21.36,43.59,140.36,76.8,22.81,3.3,15.24,0.83,2.96
Carrots,6.48,39.88,30.58,127.59,57.78,36.94,2.66,15.95,-4.73,1.85
Carrots,6.52,24.06,30.64,195.16,46.27,32.19,1.49,13.56,0.39,2.92
Carrots,6.28,30.57,25.85,193.15,64.45,30.75,2.61,14.2,1.0,3.0
Carrots,-3.46,21.39,21.85,167.76,76.56,38.88,3.09,15.07,0.73,2.87
Carrots,12.7,38.58,39.29,168.9,67.26,22.72,3.25,13.31,0.72,2.68
Carrots,14.29,32.58,34.19,159.22,60.29,22.13,2.08,27.93,0.44,1.59
Carrots,6.23,24.86,29.31,140.29,49.5,31.81,3.99,15.36,0.55,1.52
Carrots,6.1,31.79,38.91,148.7,46.85,28.38,3.08,16.41,0.33,2.64
Carrots,6.79,23.1,26.15,125.16,52.06,31.49,2.93,17.54,0.4,2.75
Carrots,6.04,39.21,24.4,181.53,76.45,27.89,-3.0,14.02,0.66,2.64
Carrots,6.58,25.11,27.58,126.93,47.36,27.16,3.39,15.97,0.31,2.33
Carrots,15.67,20.59,24.1,160.02,73.3,31.11,2.02,14.7,0.41,1.75
Carrots,6.7,25.82,29.57,169.43,43.68,30.16,2.41,13.97,0.44,2.5
Carrots,6.24,29.31,26.87,160.02,44.41,31.43,3.01,17.12,-0.13,1.62
Carrots,6.73,28.73,20.64,177.71,64.92,37.9,2.46,12.46,0.4,3.28
Carrots,6.04,29.24,28.38,130.18,48.28,39.35,2.48,17.86,5.55,3.01
Carrots,6.71,13.93,33.46,149.44,73.63,25.4,2.72,16.14,0.84,3.03
Carrots,6.46,35.62,22.29,139.46,72.82,28.51,2.62,15.67,0.73,1.59
Carrots,6.52,26.8,24.34,174.67,40.19,31.92,11.49,15.17,0.76,1.79
Carrots,6.27,32.59,25.66,129.56,45.44,45.06,2.25,14.05,0.37,1.53
Carrots,1.42,35.37,45.36,125.89,74.54,29.83,2.41,13.38,0.88,2.61
Carrots,6.62,29.04,23.12,191.86,46.64,38.59,2.21,13.04,0.56,2.41
Carrots,6.95,29.51,23.84,134.91,52.32,33.64,2.26,12.28,0.8,2.42
Carrots,6.21,36.13,24.3,122.66,40.26,29.48,2.13,17.98,0.73,2.44
Carrots,6.78,27.23,23.08,145.22,46.53,29.76,3.65,15.74,0.83,2.97
Carrots,6.24,25.41,34.97,141.3,58.72,24.27,3.12,17.15,0.42,3.01
Carrots,6.5,38.56,42.52,169.89,72.22,39.81,3.9,15.92,0.6,1.99
Carrots,6.4,24.49,25.28,159.46,44.37,34.87,3.74,16.88,0.59,3.25
Carrots,6.61,28.4,38.89,149.02,40.11,38.18,2.78,12.39,0.39,3.14
Carrots,6.19,30.19,23.9,196.73,55.02,45.75,3.53,17.3,0.94,2.53
Carrots,6.71,26.29,35.4,193.66,78.19,22.18,2.23,12.35,0.68,2.9
Carrots,6.33,33.38,39.97,198.61,46.84,33.83,2.5,15.81,0.66,2.84
Carrots,6.84,26.17,39.34,138.51,55.39,30.22,3.63,16.31,0.67,3.01
Carrots,6.23,37.33,20.42,139.91,33.03,22.55,3.27,13.77,0.97,2.03
Carrots,6.85,28.61,45.44,139.53,42.82,29.67,3.84,26.02,0.38,1.77
Carrots,6.36,31.03,24.58,170.8,77.1,23.2,2.16,15.8,0.88,1.65
Carrots,6.04,32.16,31.96,143.84,44.27,20.18,3.9,4.49,0.73,2.48
Carrots,9.89,28.31,30.48,121.1,63.96,21.56,2.84,13.71,0.67,1.95
Carrots,6.79,38.2,21.72,191.45,50.25,37.44,2.05,17.49,0.97,2.8
Carrots,6.86,30.48,30.02,183.93,76.49,29.21,3.29,16.32,0.58,3.33
Carrots,6.8,32.46,28.13,162.84,47.1,33.56,2.0,17.09,0.82,3.06
Carrots,6.58,34.31,23.79,130.06,42.57,26.44,3.63,16.65,0.35,3.2
Carrots,6.89,28.18,21.89,161.05,53.1,36.06,3.4,16.63,0.99,2.22
Carrots,6.83,29.1,24.06,177.1,75.03,36.41,2.8,14.71,0.43,3.41
Carrots,6.83,31.34,21.35,141.22,72.9,21.99,3.46,15.92,0.97,3.49
Carrots,6.95,22.14,36.81,160.09,49.93,23.76,3.85,17.38,10.93,2.95
Carrots,6.36,34.67,29.07,160.6,66.92,20.17,3.47,16.86,0.33,3.13
Carrots,11.24,49.82,22.24,189.71,70.01,37.99,3.2,16.08,0.6,1.29
Carrots,6.14,29.0,35.49,144.52,46.42,30.23,2.96,12.63,0.57,2.59
Carrots,6.97,28.01,36.32,184.64,40.82,39.94,-1.95,17.22,0.64,2.14
Carrots,0.88,38.79,32.52,170.07,48.96,23.44,2.69,12.01,0.45,1.38
Carrots,2.13,21.19,35.55,148.75,61.93,29.42,2.27,14.16,0.77,1.57
Carrots,6.0,39.97,28.46,145.94,70.35,37.37,2.19,17.15,0.79,1.96
Carrots,6.03,32.03,29.74,148.91,72.44,38.2,3.91,13.33,0.94,2.8
Carrots,6.75,29.6,25.84,132.1,40.67,33.36,2.16,13.55,0.9,1.52
Carrots,6.05,23.71,23.95,178.48,42.62,27.8,3.48,12.15,0.74,2.68
Carrots,0.31,34.76,35.86,197.85,81.59,23.84,2.32,12.82,0.87,1.77
Carrots,6.09,23.04,36.41,134.81,51.91,39.35,3.78,12.5,0.59,2.62
Carrots,6.85,33.89,31.3,171.16,65.63,32.49,3.71,15.31,0.82,2.39
Carrots,6.27,32.7,37.93,173.26,83.46,32.2,3.01,20.27,0.87,2.19
Beans,6.49,12.31,21.38,129.14,58.49,31.58,4.38,5.07,0.9,1.68
Beans,6.49,15.6,25.61,146.86,58.59,33.44,5.61,12.49,0.54,1.27
Beans,0.56,16.77,25.82,173.32,51.34,38.25,3.28,10.32,0.91,1.25
Beans,7.15,13.64,29.33,164.7,29.65,46.13,5.18,13.47,0.76,2.2
Beans,6.99,18.97,17.96,115.2,49.18,47.41,4.57,10.82,0.68,1.23
Beans,6.12,19.03,34.41,154.36,65.97,30.52,4.64,11.81,0.61,1.91
Beans,6.22,11.92,15.62,134.6,28.65,45.65,4.41,13.1,0.95,1.66
Beans,6.32,10.09,16.45,150.78,34.67,43.58,13.99,18.46,0.7,1.54
Beans,6.62,17.84,26.25,104.29,57.22,22.76,5.19,13.34,0.63,1.94
Beans,9.66,16.79,18.02,157.7,24.86,24.35,4.37,10.58,0.94,1.39
Beans,6.28,16.67,22.95,143.95,36.76,42.93,4.09,10.95,0.79,1.9
Beans,6.41,18.74,23.77,128.2,41.14,48.49,4.0,14.51,0.91,1.01
Beans,6.63,17.94,29.94,106.58,36.44,35.85,3.32,12.08,0.76,1.12
Beans,7.19,18.35,29.55,184.19,34.28,23.1,4.41,14.92,0.89,1.77
Beans,6.64,18.4,25.25,163.71,29.53,48.85,5.28,12.87,0.8,2.49
Beans,6.67,12.55,21.23,122.62,50.96,27.0,-5.99,11.89,0.91,1.53
Beans,6.34,18.29,15.92,163.57,26.66,17.92,4.45,12.85,0.9,1.12
Beans,7.07,13.7,28.69,169.53,49.44,33.62,4.91,12.31,0.67,1.75
Beans,7.93,14.87,20.3,163.04,50.79,40.18,4.04,13.41,0.67,1.53
Beans,6.75,12.2,29.85,175.51,49.44,43.59,4.96,13.97,0.73,1.23
Beans,6.67,17.89,16.9,119.99,33.28,33.65,5.06,11.39,0.78,2.25
Beans,6.2,17.03,18.31,143.58,11.63,25.63,3.8,10.63,0.43,1.3
Beans,6.95,12.58,24.55,141.94,47.21,45.29,4.45,11.46,0.99,2.15
Beans,7.32,13.29,17.94,144.3,28.37,48.74,4.11,10.63,0.54,2.47
Beans,6.29,11.7,28.04,94.13,36.01,21.75,3.54,12.84,0.97,1.24
Beans,6.39,14.57,15.38,131.62,22.38,24.55,4.48,10.81,0.54,1.25
Beans,6.91,14.58,23.71,111.67,57.33,20.52,-3.23,0.37,0.58,1.9
Beans,6.78,11.9,22.99,104.95,15.87,29.74,3.99,14.21,3.44,1.5
Beans,6.77,18.23,17.96,161.73,28.81,30.45,5.83,14.68,0.59,2.45
Beans,6.8,10.91,25.38,179.09,59.44,43.93,5.58,12.54,9.27,1.67
Beans,6.52,17.05,28.65,174.36,59.62,22.35,3.47,14.39,0.5,2.15
Beans,7.14,16.06,26.11,105.79,53.63,38.91,3.26,11.74,0.8,1.42
Beans,7.0,18.31,11.77,152.63,27.21,26.77,3.93,12.03,0.82,2.22
Beans,7.31,15.95,37.78,167.16,26.51,30.72,4.11,14.94,0.88,2.16
Beans,7.32,11.13,18.44,135.35,10.51,21.18,4.39,13.83,0.99,1.35
Beans,6.49,14.81,17.01,169.45,45.46,35.22,5.1,14.42,8.4,1.08
Beans,7.01,11.87,18.15,129.58,40.14,30.29,5.2,12.09,0.94,1.12
Beans,6.92,14.69,19.53,103.87,51.75,26.59,3.75,13.55,0.88,1.9
Beans,6.75,16.85,15.83,170.64,44.74,32.84,5.05,13.4,0.81,1.65
Beans,6.13,18.42,27.67,142.77,49.01,37.63,5.45,14.39,0.56,1.57
Beans,7.42,12.08,29.71,128.21,24.38,41.19,5.42,11.68,0.42,2.26
Beans,6.99,13.49,22.85,148.4,45.21,45.48,4.66,14.48,0.82,2.14
Beans,-1.51,17.22,22.65,157.87,51.08,42.64,5.88,14.27,0.85,1.31
Beans,7.25,14.03,17.74,113.39,30.62,42.41,3.94,9.98,0.56,2.11
Beans,6.25,12.62,17.76,124.22,56.15,47.31,4.17,14.08,0.82,2.08
Beans,6.6,19.72,19.12,112.76,54.82,35.4,15.11,11.77,0.81,1.55
Beans,7.16,25.35,21.35,111.36,52.07,22.6,5.41,10.91,0.93,1.93
Beans,6.29,10.69,26.8,170.7,54.32,32.42,5.38,12.79,0.54,2.43
Beans,10.09,18.83,20.8,134.27,53.64,25.38,4.22,13.28,0.54,1.28
Beans,7.16,13.57,16.0,117.67,23.45,31.87,5.49,11.68,0.52,1.76
Beans,6.87,10.06,24.88,129.86,20.43,36.37,4.5,11.75,0.88,1.39
Beans,6.37,17.03,16.6,136.31,20.18,31.68,4.47,14.87,0.84,1.86
Beans,6.9,11.31,21.07,175.15,60.42,20.59,5.68,12.64,-7.25,1.78
Beans,11.38,15.57,17.66,129.14,27.48,46.43,4.93,12.73,0.9,1.19
Beans,7.09,10.93,38.92,105.69,44.25,31.95,5.68,11.76,0.66,1.91
Beans,6.14,12.98,19.05,176.77,51.73,26.21,4.27,12.74,0.43,1.56
Beans,6.15,15.2,16.31,154.46,37.7,20.85,3.58,11.03,0.59,1.05
Beans,6.29,15.54,29.68,174.71,23.24,41.03,4.98,12.51,0.66,1.5
Beans,6.13,12.44,27.56,130.43,38.32,34.48,3.96,12.78,0.93,1.94
Beans,6.64,12.06,29.77,105.47,22.87,28.88,3.88,10.86,0.59,1.03
Beans,3.91,16.97,26.3,135.12,47.54,45.58,3.23,11.83,0.79,2.1
Beans,6.36,18.47,20.9,135.1,48.96,43.92,5.21,14.51,0.91,1.82
Beans,7.08,18.76,28.34,173.59,27.18,20.2,4.16,10.22,0.48,1.03
Beans,6.93,10.18,28.11,127.25,45.17,29.01,5.47,10.94,0.79,2.26
Beans,6.57,13.85,27.7,179.58,57.54,34.71,3.36,12.3,0.41,2.43
Beans,7.47,11.71,22.0,165.29,50.99,40.71,4.03,14.83,0.9,1.34
Beans,15.6,13.22,24.07,163.28,37.6,46.4,4.88,10.62,0.48,1.26
Beans,-0.95,15.99,29.67,131.71,48.89,24.77,4.58,10.61,0.59,0.92
Beans,6.85,16.03,20.52,173.58,50.27,32.52,3.47,10.73,0.87,1.3
Beans,7.29,18.38,29.43,122.2,43.52,22.06,3.49,14.51,0.62,1.15
Beans,6.02,17.63,26.91,175.02,23.11,32.09,3.76,14.88,0.93,2.45
Beans,6.69,18.73,24.63,117.38,34.26,43.24,3.08,11.37,-5.23,2.14
Beans,7.26,19.8,30.29,120.02,38.31,29.91,3.78,12.12,0.64,1.82
Beans,6.34,13.73,28.15,145.59,40.14,24.25,4.06,13.47,0.62,1.86
Beans,7.01,10.07,6.12,103.41,34.14,20.05,3.4,14.17,0.43,1.52
Beans,6.62,18.69,28.31,115.38,39.13,45.31,5.61,10.39,0.65,1.68
Beans,6.3,12.99,17.94,163.77,33.08,25.29,4.49,14.63,0.4,1.79
Beans,1.29,0.52,18.69,171.97,55.54,37.1,5.08,13.45,0.54,1.66
Beans,6.68,15.26,16.28,92.94,52.72,41.51,11.07,12.64,0.98,1.56
Beans,7.47,12.53,24.21,166.87,24.17,41.79,5.8,10.53,7.42,1.42
Beans,7.4,19.67,28.85,154.08,38.0,21.13,8.41,13.51,0.41,0.9
Beans,7.04,13.55,15.67,163.66,29.5,20.18,3.91,12.29,0.82,2.39
Beans,6.96,16.85,26.69,103.13,31.81,30.23,4.02,10.41,0.52,1.09
Beans,6.28,17.04,27.14,165.93,67.33,45.81,5.01,13.16,0.77,1.95
Beans,7.43,15.99,18.27,149.97,31.71,24.67,4.3,14.9,0.54,1.91
Beans,7.29,17.69,21.96,166.36,45.92,42.16,5.35,12.01,0.56,1.34
Beans,7.46,7.64,26.2,148.47,43.34,38.04,4.85,13.17,0.76,1.05
Beans,6.55,13.4,21.02,143.1,59.94,27.41,4.66,14.85,0.61,2.04
Beans,6.71,14.19,27.67,145.94,47.18,21.33,4.95,10.97,5.29,1.66
Beans,6.27,12.36,18.9,131.32,37.83,36.03,5.93,10.36,0.41,1.29
Beans,2.62,19.3,16.5,151.16,28.91,26.4,3.48,12.54,0.82,0.91
Beans,6.02,14.81,19.82,151.08,45.15,48.22,4.26,10.45,0.83,2.39
Beans,7.08,11.5,24.87,143.23,41.15,27.8,3.4,0.79,0.92,1.54
Beans,12.2,15.59,26.06,146.62,38.37,24.66,5.77,13.94,0.83,0.95
Beans,6.91,14.68,29.2,107.19,46.98,36.24,3.57,2.07,2.29,1.14
Beans,7.5,13.56,22.83,144.02,40.42,45.85,4.08,12.34,0.96,1.13
Beans,6.89,19.0,17.8,144.44,57.1,42.03,3.2,12.45,0.97,2.29
Beans,6.66,13.96,18.93,122.34,43.31,42.43,3.7,7.8,0.97,0.95
Beans,13.18,17.03,28.79,105.71,24.45,36.25,4.36,13.34,0.42,1.52
Beans,7.38,19.53,29.67,92.44,57.48,24.99,3.36,11.45,0.95,1.14
